#opcode;step.min;step.max
ADC;1;1
ADD;1;1
ADIW;2;2
AND;1;1
ANDI;1;1
ASR;1;1
BCLR;1;1
BLD;1;1
BRBC;1;2
BRBS;1;2
BRCC;1;2
BRCS;1;2
BREAK;1;1
BREQ;1;2
BRGE;1;2
BRHC;1;2
BRHS;1;2
BRID;1;2
BRIE;1;2
BRLO;1;2
BRLT;1;2
BRMI;1;2
BRNE;1;2
BRPL;1;2
BRSH;1;2
BRTC;1;2
BRTS;1;2
BRVC;1;2
BRVS;1;2
BSET;1;1
BST;1;1
CALL;4;4
CBI;2;2
CBR;1;1
CLC;1;1
CLH;1;1
CLI;1;1
CLN;1;1
CLR;1;1
CLS;1;1
CLT;1;1
CLV;1;1
CLZ;1;1
COM;1;1
CP;1;1
CPC;1;1
CPI;1;1
CPSE;1;3
DEC;1;1
EICALL;4;4
EIJMP;2;2
EOR;1;1
FMUL;2;2
FMULS;2;2
FMULSU;2;2
ICALL;3;3
IJMP;2;2
IN;1;1
INC;1;1
JMP;3;3
LAC;1;1
LAS;1;1
LAT;1;1
LD;1;2
LDD;2;2
LDI;1;1
LDS;1;2
LPM;3;3
LSL;1;1
LSR;1;1
MOV;1;1
MOVW;1;1
MUL;2;2
MULS;2;2
MULSU;2;2
NEG;1;1
NOP;1;1
OR;1;1
ORI;1;1
OUT;1;1
POP;2;2
PUSH;2;2
RCALL;3;3
RET;4;4
RETI;4;4
RJMP;2;2
ROL;1;1
ROR;1;1
SBC;1;1
SBCI;1;1
SBI;2;2
SBIC;1;3
SBIS;1;3
SBIW;2;2
SBR;1;1
SBRC;1;3
SBRS;1;3
SEC;1;1
SEH;1;1
SEI;1;1
SEN;1;1
SER;1;1
SES;1;1
SET;1;1
SEV;1;1
SEZ;1;1
SLEEP;1;1
ST;1;2
STD;2;2
STS;2;2
SUB;1;1
SUBI;1;1
SWAP;1;1
TST;1;1
WDR;1;1
XCH;1;1
# from http://www.atmel.com/Images/Atmel-0856-AVR-Instruction-Set-Manual.pdf
